Quotes,Author
If you want to achieve greatness stop asking for permission.,Anonymous
"Take up one idea. Make that one idea your life - think of it, dream of it, live on that idea. Let the brain, muscles, nerves, every part of your body, be full of that idea, and just leave every other idea alone. This is the way to success.",Swami Vivekananda
"Good things come to people who wait, but better things come to those who go out and get them.",Anonymous
Success is walking from failure to failure with no loss of enthusiasm. ,Winston Churchill
Great minds discuss ideas; average minds discuss events; small minds discuss people.,Eleanor Roosevelt
"If you don’t value your time, neither will others. Stop giving away your time and talents- start charging for it.",Kim Garst
A successful man is one who can lay a firm foundation with the bricks others have thrown at him.,David Brinkley
What seems to us as bitter trials are often blessings in disguise.,Oscar Wilde
When you stop chasing the wrong things you give the right things a chance to catch you.,Lolly Daskal
Don’t be afraid to give up the good to go for the great.,"John D. Rockefeller

"
Do one thing every day that scares you.,Anonymous
Life is not about finding yourself. Life is about creating yourself.,Lolly Daskal
Knowledge is being aware of what you can do. Wisdom is knowing when not to do it. ,Anonymous 
There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will succeed.,Ray Goforth
"Success is the sum of small efforts, repeated day-in and day-out.",Robert Collier
All progress takes place outside the comfort zone.,Michael John Bobak
The only place where success comes before work is in the dictionary.,Vidal Sassoon
The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself. ,Mark Caine
"he successful warrior is the average man, with laser-like focus.",Bruce Lee
"If you don’t design your own life plan, chances are you’ll fall into someone else’s plan. And guess what they have planned for you? Not much.",Jim Rohn
"If you genuinely want something, don’t wait for it — teach yourself to be impatient.",Gurbaksh Chahal
Don’t let the fear of losing be greater than the excitement of winning. ,Robert Kiyosaki
"The number one reason people fail in life is because they listen to their friends, family, and neighbors.",Napoleon Hill
You must expect great things of yourself before you can do them. ,Michael Jordan
Motivation is what gets you started. Habit is what keeps you going.,Jim Ryun
Our greatest fear should not be of failure but of succeeding at things in life that don’t really matter.,Francis Chan
To be successful you must accept all challenges that come your way. You can’t just accept the ones you like.,Mike Gafka
"Be miserable. Or motivate yourself. Whatever has to be done, it’s always your choice. ",Wayne Dyer
Little minds are tamed and subdued by misfortune; but great minds rise above it,Washington Irving
Don’t let what you cannot do interfere with what you can do.,John R. Wooden
"A man can be as great as he wants to be. If you believe in yourself and have the courage, the determination, the dedication, the competitive drive and if you are willing to sacrifice the little things in life and pay the price for the things that are worthwhile, it can be done.",Vince Lombardi
